index,ipm
2014-01-01,0.134713
2015-01-01,0.130225
2016-01-01,0.125974
2017-01-01,0.130259
2018-01-01,0.135589
2019-01-01,0.136289
2020-01-01,0.278565
2021-01-01,0.286067
2022-01-01,0.140493
2023-01-01,0.238248
2024-01-01,0.237113
2025-01-01,0.194449
2026-01-01,0.282958
